Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
7.75 x 0.5 x 1.25 inches,B00FYZHVOE,"September 9, 2014",DEWALT,USA,"#4,358 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #11 in Scratch Brushes",Multi,DW49705,0.64 ounces,$1.65,$25.15,$0.00,13
"8.9""L x 6.9""W x 4.5""H",B07H7SH6HC,"September 10, 2018",No,None,"#4,663 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #14 in Cut-Off Wheels",Chrome,2522-20,2.11 pounds,$119.98,$35.28,$42.68,N/A
"0.75""L x 0.75""W",B074BJ5QBB,"July 27, 2017",DEWALT,China,"#5,643 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #19 in Cut-Off Wheels",Multi,DWA4974,0.634 ounces,$3.60,$25.17,$0.00,13
6.25 x 1.75 x 7.75 inches,B00004YMDI,"July 2, 2004",No,China,"#5,075 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #2 in Abrasive Wheel Brushes",Multi,DW4904,1 pounds,$12.99,$30.34,$25.44,13
None,B074BBDRDK,"July 27, 2017",No,China,"#5,701 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #20 in Cut-Off Wheels",Multi,DWA4973,0.704 ounces,$2.89,$25.15,$0.00,13
9 x 5.75 x 0.38 inches,B01N3QT8X6,"November 11, 2016",Warner Manufacturing Co.,USA,"#20,217 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #74 in Power Sander Hook & Loop Discs",Multicolor,3410496,0.01 ounces,$10.10,$26.87,$0.00,13
7.25 x 0.5 x 1.25 inches,B00FYZHVN0,"October 10, 2013",No,USA,"#5,616 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #14 in Scratch Brushes",None,DW49708,0.634 ounces,$2.15,$25.92,$0.00,13
4.75 x 3.75 x 3.05 inches,B00004RHAL,"June 15, 2006",No,China,"#6,806 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #11 in Abrasive Cup Brushes",Multi,DW4910,9.9 ounces,$10.59,$27.70,$0.00,13
None,B0008395ZU,"April 1, 2004",Yes,China,"#14,959 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #49 in Power Sander Hook & Loop Discs",None,SR5R000,0.01 ounces,$5.49,$25.59,$0.00,13
14 x 2 x 9 inches,B000BQSBUE,"February 19, 2007",No,USA,"#20,886 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #20 in Scratch Brushes  #1,936 in Hand Tools (Tools & Home Improvement)",None,70505,5 ounces,$5.99,$26.23,$0.00,13
None,B00004YMDQ,"November 9, 2004",No,China,"#9,276 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #15 in Abrasive Wheel Brushes",Multi,DW4925,7.4 ounces,$11.39,$27.10,$0.00,13
8.75 x 8.25 x 1.13 inches,B00004YMDL,"July 2, 2004",DEWALT,China,"#7,353 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #8 in Abrasive Wheel Brushes",Multi,DW4907,2.44 pounds,$15.15,$36.68,$29.99,13
"4.5""L x 4.5""W",B000BPC2PU,"April 20, 2005",No,Turkey,"#3,860 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #6 in Flap Discs",Multi,DW8308,2.88 ounces,$5.38,$25.71,$0.00,13
15.75 x 10.24 x 2.4 inches,B002R2XE20,"September 30, 2009",No,China,"#9,018 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #27 in Scratch Brushes",None,00325A,3.64 pounds,$26.97,$39.75,$38.02,13
"9""L x 9""W",B09GL99KTZ,"September 18, 2021",HYDE,China,"#20,667 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #77 in Power Sander Hook & Loop Discs",None,09873,1.41 pounds,$13.33,$30.62,$11.51,13
"4.88""L x 0.83""W",B00FMHQ1OU,"October 4, 2013",No,China,"#25,983 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #94 in Power Sander Hook & Loop Discs",Multi,DWASPTRI,2.08 ounces,$6.25,$25.69,$0.00,13
None,B003XFR75K,"July 26, 2010",No,USA,"#7,698 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #10 in Abrasive Wheel Brushes",No Color,72747,0.32 ounces,$9.00,$28.58,$0.00,13
